hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,10,193.52,191.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,11,191.59,191.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,12,191.37,192.09
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,1,191.39,193.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,2,191.02,192.11
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,3,192.01,192.27
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,4,192.69,191.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,5,193.91,190.58
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,6,193.97,190.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,7,192.38,188.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,8,191.72,188.25
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,9,189.30,187.03
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,10,187.39,185.75
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,11,185.38,184.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,12,182.84,183.72
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,1,180.56,182.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,2,180.82,182.10
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,3,180.61,181.21
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,4,180.24,179.31
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,5,181.06,177.70
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,6,181.02,177.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,7,179.68,176.10
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,8,178.48,175.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,9,174.53,172.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,10,173.65,172.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,11,169.84,169.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,12,168.28,169.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,1,170.53,172.45
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,2,169.90,171.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,3,169.15,170.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,4,169.23,168.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,5,173.02,169.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,6,172.26,168.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,7,170.92,167.21
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,8,170.38,166.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,9,169.62,167.31
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,10,168.06,166.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,11,168.94,167.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,12,164.52,165.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,1,163.24,165.39
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,2,162.82,164.67
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,3,163.53,164.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,4,165.54,164.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,5,168.40,165.00
